"de_para";"valor";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"CXE     000133 SAQUE";"saque";
"RSHOP-ARIZONA PAE-23/04";"padaria";
"RES APLIC AUT MAIS";"banco";
"RSHOP-AUTO POSTO -24/04";"gasolina";
"RSHOP-MERCADINHO -24/04";"mercado";
"RSHOP-ARBYS SUPER-26/04";"compras";
"RSHOP-ARIZONA PAE-27/04";"padaria";
"RSHOP-AUTO POSTO -26/04";"gasolina";
"RSHOP-DROGARIA PR-27/04";"farmacia";
"RSHOP-LEROY MERLI-25/04";"compras";
"RSHOP-MC DONALDS -25/04";"alimentação";
"RSHOP-PAG*IgorDeA-25/04";"compras";
"RSHOP-RAIA 47    -27/04";"farmacia";
"RSHOP-SONDA TREME-25/04";"mercado";
"RSHOP-SONDA TREME-25/04";"mercado";
"RSHOP-LEROY MERLI-29/04";"compras";
"CXE     000620 SAQUE";"saque";
"RSHOP-ANDORINHA H-30/04";"mercado";
"SALDO PARCIAL";"saldo";
"SALDO ANTERIOR";"saldo";
"RSHOP-PASTEIS M M-30/04";"alimentação";
"RSHOP-PASTEIS YAS-30/04";"alimentação";
"INT TED  511000";"boleto";
"INT TED  513437 SEMI";"seminario";
"TED 237.2846ANDRE N BARB";"salario";
"APL APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"SALDO FINAL";"saldo";
"SALDO INICIAL";"saldo";
"RSHOP-LOJAS AMERI-03/05";"compras";
"RSHOP-MERCADINHO -03/05";"mercado";
"RSHOP-PAG*MarcosD-01/05";"compras";
"RSHOP-POSTO AMMA -04/05";"gasolina";
"RSHOP-STELO S A *-02/05";"compras";
"TBI 9293.22915-0/500";"poupança";
"RES APLIC AUT MAIS";"banco";
"REND PAGO APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"INT TED 033072610089869";"boleto";
"TAR PACOTE ITAU   ABR/20";"banco";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"CXE     000406 SAQUE";"saque";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONSONDA JACAN";"mercado";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONADEGA DO AL";"alimentação";
"ELECTRONARIANA DIAS";"compras";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONCOM DE FRAN";"compras";
"ELECTRONDRIVE DUMON";"compras";
"ELECTRONMARIA LUCIA";"compras";
"ELECTRONMOCOTO REST";"alimentação";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONSONDA TREME";"mercado";
"SEGURO CARTAO";"banco";
"DEB AUTOR UNICEF";"doação";
"RES APLIC AUT MAIS";"banco";
"REND PAGO APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONAUTO POSTO";"gasolina";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"CXE     000026 SAQUE";"saque";
"ELECTRONSONDA TREME";"mercado";
"RES APLIC AUT MAIS";"banco";
"SALDO APLIC AUT MAIS";"saldo";
"INT NEXTEL 9599999726182";"celular";
"INT NEXTEL 9899999726181";"celular";
"ELECTRONLOJAS AMERI";"compras";
"ELECTRONSONDA TREME";"mercado";
"ELECTRONVG CELULARE";"celular";
"RES APLIC AUT MAIS";"banco";
"REND PAGO APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"ELECTRONADEGA DO AL";"alimentação";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONDROGARIA PR";"farmacia";
"SALDO PARCIAL";"saldo";
"SALDO ANTERIOR";"saldo";
"ELECTRONHABIBS";"alimentação";
"ELECTRONS KOMESU MA";"compras";
"INT ITAUCARD";"cartão credito";
"TED 237.2846ANDRE N BARB";"salario";
"APL APLIC AUT MAIS";"saldo";
"SALDO APLIC AUT MAIS";"saldo";
"CXE 001628 SAQUE 17/05";"saque";
"ELECTRONARIZONA PAE";"padaria";
"ELECTRONDROGARIA PR";"farmacia";
"ELECTRONEDIVALDO PE";"compras";
