descrição;data;lançamento;ag./origem;valor (R$);valor_convertido_saida (R$);valor_convertido_entrada (R$);REF;dt_pagto_bq;dt_custo_bq
boleto;14/02/2020;INT  PAG TIT BANCO 237;4175;-414,21;414.21;0;01/02/2020;2020-02-01;2020-02-14
compras;14/02/2020;ELECTRONANTHONNY CA;9212;-6;6;0;01/02/2020;2020-02-01;2020-02-14
cartão credito;14/02/2020;INT ITAUCARD;4175;-2912,75;2912.75;0;01/02/2020;2020-02-01;2020-02-14
salario;14/02/2020;TED 237.2846ANDRE N BARB;;4390;0;4390;01/02/2020;2020-02-01;2020-02-14
saldo;14/02/2020;APL APLIC AUT MAIS;;-638,24;0;-638,24;01/02/2020;2020-02-01;2020-02-14
saldo;14/02/2020;SALDO APLIC AUT MAIS;;638,24;0;638,24;01/02/2020;2020-02-01;2020-02-14
ipva;17/02/2020;INT IPVA-SP HOH-6396;4175;-360,77;360.77;0;01/02/2020;2020-02-01;2020-02-17
mercado;17/02/2020;ELECTRONHORTIFRUTI;9212;-2;2;0;01/02/2020;2020-02-01;2020-02-17
mercado;17/02/2020;ELECTRONMERCADOPAGO;9212;-3;3;0;01/02/2020;2020-02-01;2020-02-17
compras;17/02/2020;ELECTRONPAG*Natalia;9212;-13,9;13.9;0;01/02/2020;2020-02-01;2020-02-17
gasolina;17/02/2020;ELECTRONPOSTO M G M;9212;-40;40;0;01/02/2020;2020-02-01;2020-02-17
compras;17/02/2020;ELECTRONSARA MARIA;9212;-5;5;0;01/02/2020;2020-02-01;2020-02-17
compras;17/02/2020;ELECTRONSHOKITI;9212;-2,99;2.99;0;01/02/2020;2020-02-01;2020-02-17
doação;17/02/2020;DEB AUTOR UNICEF;9293;-75;75;0;01/02/2020;2020-02-01;2020-02-17
banco;17/02/2020;RES APLIC AUT MAIS;;502,66;0;502,66;01/02/2020;2020-02-01;2020-02-17
saldo;17/02/2020;SALDO APLIC AUT MAIS;;135,58;0;135,58;01/02/2020;2020-02-01;2020-02-17
compras;18/02/2020;ELECTRONSHOKITI;9212;-2,99;2.99;0;01/02/2020;2020-02-01;2020-02-18
seminario;18/02/2020;INT TED  225223 SEMINRI;4175;-283,5;283.5;0;01/02/2020;2020-02-01;2020-02-18
banco;18/02/2020;RES APLIC AUT MAIS;;135,58;0;135,58;01/02/2020;2020-02-01;2020-02-18
compras;19/02/2020;ELECTRONSHOKITI;9212;-9,98;9.98;0;01/02/2020;2020-02-01;2020-02-19
