"descrição";"data";"lançamento";"ag./origem";"valor (R$)";"valor_convertido_saida (R$)";"valor_convertido_entrada (R$)";"REF"
"alimentação";"17/02/2021";"ELECTRONHABIBS";"9212";-14,2;14,2;0;01/02/2021
"alimentação";"17/02/2021";"ELECTRONIMW 3 R VIL";"9212";-50;50;0;01/02/2021
"roupa";"17/02/2021";"ELECTRONLOJAS RENNE";"9212";-20;20;0;01/02/2021
"padaria";"17/02/2021";"ELECTRONPAES E DOCE";"9212";-13;13;0;01/02/2021
"frango";"17/02/2021";"ELECTRONPAG*Frigott";"9212";-68;68;0;01/02/2021
"compras";"17/02/2021";"ELECTRONPAG*MONICAP";"9212";-9,9;9,9;0;01/02/2021
"compras";"17/02/2021";"ELECTRONPAG*Rufplas";"9212";-11;11;0;01/02/2021
"farmacia";"17/02/2021";"ELECTRONPROMOFARMA";"9212";-1,29;1,29;0;01/02/2021
"farmacia";"17/02/2021";"ELECTRONPROMOFARMA";"9212";-20,69;20,69;0;01/02/2021
"mercado";"17/02/2021";"ELECTRONTRIMAIS SUP";"9212";-59,02;59,02;0;01/02/2021
"mercado";"17/02/2021";"ELECTRONTRIMAIS SUP";"9212";-39,51;39,51;0;01/02/2021
"mercado";"17/02/2021";"ELECTRONTRIMAIS SUP";"9212";-247,87;247,87;0;01/02/2021
"cartão de credito";"17/02/2021";"INT ITAUCARD";"4175";-3626,45;3626,45;0;01/02/2021
"resgate";"17/02/2021";"TBI 9293.22915-0/500";"4175";1000;0;1000;01/02/2021
"tapete";"17/02/2021";"PIX QRS CLAUDIO DOU13/02";"9136";40;0;40;01/02/2021
"salario";"17/02/2021";"PIX TRANSF  ANDRE N15/02";"9132";5000;0;5000;01/02/2021
"saldo";"17/02/2021";"SALDO DO DIA";;;0;0;01/02/2021
"mercado";"18/02/2021";"ELECTRONTRIMAIS SUP";"9212";-48,63;48,63;0;01/02/2021
"cabeleireiro";"18/02/2021";"PIX TRANSF  ALEXAND18/02";"9131";-25;25;0;01/02/2021
"saldo";"18/02/2021";"SALDO DO DIA";;;0;0;01/02/2021
"compras";"19/02/2021";"ELECTRONCENTER CHIC";"9212";-18;18;0;01/02/2021
"compras";"19/02/2021";"ELECTRONM A KOCH LA";"9212";-45;45;0;01/02/2021
"farmacia";"19/02/2021";"ELECTRONPROMOFARMA";"9212";-40,78;40,78;0;01/02/2021
"mercado";"19/02/2021";"ELECTRONTRIMAIS SUP";"9212";-31,63;31,63;0;01/02/2021
"saldo";"19/02/2021";"SALDO DO DIA";;;0;0;01/02/2021
"saque";"22/02/2021";"SAQUE 24H 12763504 21/02";"5086";-100;100;0;01/02/2021
"compras";"22/02/2021";"ELECTRONDONAJU";"9212";-96;96;0;01/02/2021
"alimentação";"22/02/2021";"ELECTRONHABIB S";"9212";-72,27;72,27;0;01/02/2021
"alimentação";"22/02/2021";"ELECTRONMERCPAGO";"9212";-4,5;4,5;0;01/02/2021
"frango";"22/02/2021";"ELECTRONPAG*Frigott";"9212";-79;79;0;01/02/2021
"farmacia";"22/02/2021";"ELECTRONR C P FARMA";"9212";-16,94;16,94;0;01/02/2021
"compras";"22/02/2021";"ELECTRONSONEDA PERF";"9212";-110,67;110,67;0;01/02/2021
"compras";"22/02/2021";"PIX TRANSF  ANDRE N21/02";"9014";392;0;392;01/02/2021
"saldo";"22/02/2021";"SALDO DO DIA";;;0;0;01/02/2021
"mercado";"23/02/2021";"ELECTRONSONDA TREME";"9212";-31,7;31,7;0;01/02/2021
"saldo";"23/02/2021";"SALDO DO DIA";;;0;0;01/02/2021
"estacionamento";"24/02/2021";"ELECTRONPARK NOW ES";"9212";-5;5;0;01/02/2021
"saldo";"24/02/2021";"SALDO DO DIA";;;0;0;01/02/2021
"compras";"25/02/2021";"ELECTRONJEFFERSON*j";"9212";-6;6;0;01/02/2021
"compras";"25/02/2021";"ELECTRONPAG*galasso";"9212";-5;5;0;01/02/2021
"compras";"25/02/2021";"ELECTRONPASTEIS SON";"9212";-7;7;0;01/02/2021
"compras";"25/02/2021";"ELECTRONROSANGELA F";"9212";-5;5;0;01/02/2021
"mercado";"25/02/2021";"ELECTRONTRIMAIS SUP";"9212";-189,07;189,07;0;01/02/2021
"saldo";"25/02/2021";"SALDO DO DIA";;;0;0;01/02/2021
